"OUTID","Birth","SEXTYPENAME","REGNAME","AREANAME","TERNAME","REGTYPENAME","TerTypeName","ClassProfileNAME","ClassLangName","EONAME","EOTYPENAME","EORegName","EOAreaName","EOTerName","EOParent","UkrTest","UkrTestStatus","UkrBall100","UkrBall12","UkrBall","UkrPTName","UkrPTRegName","UkrPTAreaName","UkrPTTerName","histTest","HistLang","histTestStatus","histBall100","histBall12","histBall","histPTName","histPTRegName","histPTAreaName","histPTTerName","mathTest","mathLang","mathTestStatus","mathBall100","mathBall12","mathBall","mathPTName","mathPTRegName","mathPTAreaName","mathPTTerName","physTest","physLang","physTestStatus","physBall100","physBall12","physBall","physPTName","physPTRegName","physPTAreaName","physPTTerName","chemTest","chemLang","chemTestStatus","chemBall100","chemBall12","chemBall","chemPTName","chemPTRegName","chemPTAreaName","chemPTTerName","bioTest","bioLang","bioTestStatus","bioBall100","bioBall12","bioBall","bioPTName","bioPTRegName","bioPTAreaName","bioPTTerName","geoTest","geoLang","geoTestStatus","geoBall100","geoBall12","geoBall","geoPTName","geoPTRegName","geoPTAreaName","geoPTTerName","engTest","engTestStatus","engBall100","engBall12","engDPALevel","engBall","engPTName","engPTRegName","engPTAreaName","engPTTerName","fraTest","fraTestStatus","fraBall100","fraBall12","fraDPALevel","fraBall","fraPTName","fraPTRegName","fraPTAreaName","fraPTTerName","deuTest","deuTestStatus","deuBall100","deuBall12","deuDPALevel","deuBall","deuPTName","deuPTRegName","deuPTAreaName","deuPTTerName","spaTest","spaTestStatus","spaBall100","spaBall12","spaDPALevel","spaBall","spaPTName","spaPTRegName","spaPTAreaName","spaPTTerName"
"bc360a4c-a6ba-48df-8ff6-1273a947f493",2000,"жіноча","Рівненська область","Рівненська область","м.Дубно","Студент закладу вищої освіти","місто","null","null","Дубенський коледж Рівненського державного гуманітарного університету","вищий навчальний заклад I-II рівнів акредитації","Рівненська область","м.Дубно","м.Дубно","Міністерство освіти і науки України","Українська мова і література","Зараховано","123.0",5,36,"Дубенська загальноосвітня школа І-ІІІ ступенів №6 Дубенської міської ради Рівненської області","Рівненська область","м.Дубно","м.Дубно","Історія України","українська","Зараховано","130.0","null",37,"Дубенська гімназія №2 Дубенської міської ради Рівненської області","Рівненська область","м.Дубно","м.Дубно","Математика","українська","Зараховано","104.0","null",11,"Дубенський навчально-виховний комплекс ""школа-гімназія"" Дубенської міської ради Рівненської області","Рівненська область","м.Дубно","м.Дубно","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Біологія","українська","Не з’явився","null","null","null","Рівненська загальноосвітня школа І-ІІІ ступенів №8 Рівненської міської ради","Рівненська область","м.Рівне","м.Рівне","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"374ed8be-fbd3-425a-94c1-12a6b43467b5",2001,"жіноча","Рівненська область","Рівненська область","м.Дубно","Студент закладу вищої освіти","місто","null","null","Дубенський коледж культури і мистецтв Рівненського державного гуманітарного університету","вищий навчальний заклад I-II рівнів акредитації","Рівненська область","м.Дубно","м.Дубно","Управління освіти і науки Рівненської обласної державної адміністрації","Українська мова і література","Не подолав поріг","0.0",3,12,"Дубенська загальноосвітня школа І-ІІІ ступенів №6 Дубенської міської ради Рівненської області","Рівненська область","м.Дубно","м.Дубно","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"b0f6e7ca-0d35-407b-a538-9927039582d0",2001,"чоловіча","Рівненська область","Рівненська область","м.Дубно","Випускник закладу загальної середньої освіти 2018 року","місто","Фізико-математичний","українська","Дубенський навчально-виховний комплекс ""школа-гімназія"" Дубенської міської ради Рівненської області","навчально-виховний комплекс","Рівненська область","м.Дубно","м.Дубно","Управління освіти Дубенської міської ради ","Українська мова і література","Зараховано","182.0",10,84,"Дубенська гімназія №2 Дубенської міської ради Рівненської області","Рівненська область","м.Дубно","м.Дубно","null","null","null","null","null","null","null","null","null","null","Математика","українська","Зараховано","136.0",6,23,"Дубенський навчально-виховний комплекс ""школа-гімназія"" Дубенської міської ради Рівненської області","Рівненська область","м.Дубно","м.Дубно","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Географія","українська","Зараховано","172.0",9,64,"Рівненська загальноосвітня школа І-ІІІ ступенів №18 Рівненської міської ради","Рівненська область","м.Рівне","м.Рівне","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"86cd2ac3-b290-4ab6-a955-ed812ad89d30",1999,"чоловіча","Рівненська область","Рівненська область","м.Дубно","Учень (слухач) закладу професійної (професійно-технічної) освіти","місто","null","null","Державний навчальний заклад ""Дубенське вище художнє професійно-технічне училище""","вище художнє професійно-технічне училище","Рівненська область","м.Дубно","м.Дубно","Управління освіти і науки Рівненської обласної державної адміністрації","Українська мова і література","Зараховано","111.0",4,29,"Дубенський навчально-виховний комплекс ""школа-гімназія"" Дубенської міської ради Рівненської області","Рівненська область","м.Дубно","м.Дубно","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"a3925744-fc86-4eb9-87d3-de8e881fbb86",2001,"чоловіча","Рівненська область","Рівненська область","м.Дубно","Випускник закладу загальної середньої освіти 2018 року","місто","Універсальний","українська","Дубенська загальноосвітня школа І-ІІІ ступенів №3 Дубенської міської ради Рівненської області","середня загальноосвітня школа","Рівненська область","м.Дубно","м.Дубно","Управління освіти Дубенської міської ради ","Українська мова і література","Зараховано","145.0",7,51,"Дубенська загальноосвітня школа І-ІІІ ступенів №6 Дубенської міської ради Рівненської області","Рівненська область","м.Дубно","м.Дубно","Історія України","українська","Зараховано","120.0",7,33,"Дубенська загальноосвітня школа І-ІІІ ступенів №6 Дубенської міської ради Рівненської області","Рівненська область","м.Дубно","м.Дубно","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Біологія","українська","Зараховано","107.0","null",25,"Рівненський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів - ліцей"" №19 Рівненської міської ради","Рівненська область","м.Рівне","м.Рівне","Географія","українська","Зараховано","114.0",5,32,"Рівненська загальноосвітня школа І-ІІІ ступенів №24 Рівненської міської ради","Рівненська область","м.Рівне","м.Рівне","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"276b9077-ca8b-424c-bf13-b9f84c4b6f5a",2001,"жіноча","Рівненська область","Рівненська область","м.Дубно","Студент закладу вищої освіти","місто","null","null","Дубенський коледж Рівненського державного гуманітарного університету","вищий навчальний заклад I-II рівнів акредитації","Рівненська область","м.Дубно","м.Дубно","Міністерство освіти і науки України","Українська мова і література","Зараховано","150.0",7,55,"Дубенський навчально-виховний комплекс ""школа-гімназія"" Дубенської міської ради Рівненської області","Рівненська область","м.Дубно","м.Дубно","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"6b4ed627-9c27-4bb9-b5f4-5c88c63fcc20",2000,"жіноча","Рівненська область","Рівненська область","м.Дубно","Студент закладу вищої освіти","місто","null","null","Дубенський коледж культури і мистецтв Рівненського державного гуманітарного університету","вищий навчальний заклад I-II рівнів акредитації","Рівненська область","м.Дубно","м.Дубно","Управління освіти і науки Рівненської обласної державної адміністрації","Українська мова і література","Зараховано","111.0",6,29,"Дубенська загальноосвітня школа І-ІІІ ступенів №6 Дубенської міської ради Рівненської області","Рівненська область","м.Дубно","м.Дубно","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"db3c30d7-fc85-49e4-a01a-24b27d677efb",2001,"жіноча","Рівненська область","Рівненська область","м.Дубно","Випускник закладу загальної середньої освіти 2018 року","місто","Української філології","українська","Дубенська гімназія №2 Дубенської міської ради Рівненської області","гімназія","Рівненська область","м.Дубно","м.Дубно","Управління освіти Дубенської міської ради ","Українська мова і література","Зараховано","182.0",10,84,"Дубенська загальноосвітня школа І-ІІІ ступенів №7 Дубенської міської ради Рівненської області","Рівненська область","м.Дубно","м.Дубно","Історія України","українська","Зараховано","165.0",9,57,"Дубенська загальноосвітня школа І-ІІІ ступенів №6 Дубенської міської ради Рівненської області","Рівненська область","м.Дубно","м.Дубно","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Географія","українська","Зараховано","102.0","null",27,"Рівненська загальноосвітня школа І-ІІІ ступенів №9 Рівненської міської ради","Рівненська область","м.Рівне","м.Рівне","Англійська мова","Зараховано","122.0",6,"стандарт(академічний)",30,"Рівненський навчально-виховний комплекс №2 ""Школа - Ліцей"" Рівненської міської ради","Рівненська область","м.Рівне","м.Рівне","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"6979beed-cb91-4c19-9b00-6df95f121c4c",2000,"жіноча","Рівненська область","Рівненська область","м.Дубно","Студент закладу вищої освіти","місто","null","null","Дубенський коледж Рівненського державного гуманітарного університету","вищий навчальний заклад I-II рівнів акредитації","Рівненська область","м.Дубно","м.Дубно","Міністерство освіти і науки України","Українська мова і література","Зараховано","138.0",6,46,"Дубенська загальноосвітня школа І-ІІІ ступенів №7 Дубенської міської ради Рівненської області","Рівненська область","м.Дубно","м.Дубно","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"7fb7ea8e-181a-4b6f-8095-876ab4e701fc",2000,"жіноча","Рівненська область","Рівненська область","м.Дубно","Студент закладу вищої освіти","місто","null","null","Вищий комунальний навчальний заклад ""Дубенський медичний коледж"" Рівненської обласної ради","вищий навчальний заклад I-II рівнів акредитації","Рівненська область","м.Дубно","м.Дубно","Управління освіти і науки Рівненської обласної державної адміністрації","Українська мова і література","Зараховано","124.0",6,37,"Дубенська гімназія №2 Дубенської міської ради Рівненської області","Рівненська область","м.Дубно","м.Дубно","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
